City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,guerrero negro,27.9769,-114.0611,24.75,49,0,4.66,MX,1730056201
143,amungan,15.3652,119.9582,25.71,85,0,1.78,PH,1730056203
144,kanoya,31.3833,130.85,22.4,93,100,0.74,JP,1730056204
145,fale old settlement,-9.3852,-171.2468,28.02,73,100,6.72,TK,1730056205
146,mkushi,-13.6202,29.3939,19.44,87,100,5.94,ZM,1730056206
147,praia da vitoria,38.7333,-27.0667,17.67,74,71,3.08,PT,1730056208
148,bolo,13.7899,120.9817,26.44,84,100,7.35,PH,1730056209
149,bereznik,62.8551,42.7072,0.25,95,5,1.86,RU,1730056210
150,nuku'alofa,-21.1333,-175.2,23.19,88,20,2.57,TO,1730056211
151,port-gentil,-0.7193,8.7815,26.24,84,100,6.09,GA,1730056212
152,vung tau,10.346,107.0843,26.02,88,100,8.04,VN,1730056214
153,heroica guaymas,27.9333,-110.9,32.65,49,20,5.66,MX,1730056193
154,richlands,37.0932,-81.7937,16.88,52,10,1.06,US,1730056217
155,motygino,58.1831,94.7592,0.92,98,100,1.26,RU,1730056218
156,port elizabeth,-33.918,25.5701,18.98,46,56,9.19,ZA,1730056079
157,west island,-12.1568,96.8225,25.99,83,20,4.63,CC,1730056220
158,rantauprapat,2.1,99.8333,22.84,94,100,1.16,ID,1730056221
159,soe,-9.8607,124.284,19.27,84,5,1.35,ID,1730056222
160,malango,-2.9627,119.9001,18.27,86,6,1.19,ID,1730056224
161,ola,59.5833,151.2833,-8.88,54,100,5.98,RU,1730056225
162,kerikeri,-35.2268,173.9474,12.48,69,99,2.29,NZ,1730056196
163,turaif,31.6725,38.6637,17.14,55,0,4.12,SA,1730056227
164,nizhneangarsk,55.7833,109.55,-1.0,81,67,2.54,RU,1730056228
165,kingscliff,-28.2667,153.5667,20.89,83,100,4.63,AU,1730056229
166,richards bay,-28.783,32.0377,25.88,55,100,7.23,ZA,1730055802
167,bezhetsk,57.7851,36.6965,6.41,94,100,2.58,RU,1730056233
168,international falls,48.6011,-93.411,12.1,53,0,5.14,US,1730056234
169,darasun,51.6667,114.0,-5.59,94,100,0.87,RU,1730056235
170,kangding,30.0513,101.9603,6.7,82,55,1.15,CN,1730056237
171,sabha,27.0377,14.4283,22.73,22,43,4.87,LY,1730056238
172,tobati,-25.25,-57.0667,32.04,16,6,2.48,PY,1730056240
173,griffith,41.5284,-87.4237,14.41,39,0,3.09,US,1730056241
174,mili,6.0815,171.735,28.52,74,76,4.19,MH,1730056242
175,amurzet,47.6967,131.0981,1.45,68,60,3.3,RU,1730056244
176,igarka,67.4667,86.5833,-13.04,96,100,4.31,RU,1730056245
177,qaqortoq,60.7167,-46.0333,0.18,97,100,4.2,GL,1730056246
178,avarua,-21.2078,-159.775,23.03,73,75,4.63,CK,1730056247
179,cold lake,54.4502,-110.2017,5.68,55,100,7.89,CA,1730056173
180,rotonda west,26.8837,-82.2901,29.02,100,100,5.79,US,1730056250
181,guatire,10.4762,-66.5427,29.14,70,100,1.91,VE,1730056054
182,majene,-3.5403,118.9707,25.51,82,5,1.45,ID,1730056252
183,steamboat springs,40.485,-106.8317,17.96,24,0,1.54,US,1730056253
184,zuyevka,58.405,51.1335,1.95,97,100,0.3,RU,1730056255
185,aleksandrov gay,50.147,48.5704,7.07,78,92,4.25,RU,1730056256
186,kayyerkan,69.3786,87.7439,-11.98,92,100,4.48,RU,1730056258
187,suozhen,36.9539,118.1047,9.0,75,0,0.27,CN,1730056259
188,hadibu,12.65,54.0333,27.13,77,43,3.32,YE,1730056260
189,dawson creek,55.7666,-120.2362,2.12,80,100,2.38,CA,1730056261
190,xining,36.6167,101.7667,6.06,49,99,0.18,CN,1730056251
191,north manchester,41.0006,-85.7686,15.68,38,0,2.92,US,1730056263
192,samana,19.2056,-69.3369,32.12,74,40,2.06,DO,1730056265
193,carutapera,-1.195,-46.02,29.34,59,9,4.87,BR,1730056266
194,banda aceh,5.5577,95.3222,26.97,78,100,6.07,ID,1730056267
195,makoua,0.0069,15.6333,25.86,81,83,1.03,CG,1730056268
196,bundaberg north,-24.8551,152.3425,19.67,77,53,1.35,AU,1730056269
197,tutong,4.8,114.65,25.1,92,19,1.26,BN,1730056271
198,xilin hot,43.9667,116.0333,2.03,64,79,2.44,CN,1730056272
199,northam,51.0333,-4.2167,10.9,85,100,4.52,GB,1730056273
200,gevas,38.2968,43.1083,1.78,69,0,0.25,TR,1730056275
201,sisimiut,66.9395,-53.6735,-7.53,59,100,4.16,GL,1730056277
202,uturoa,-16.7333,-151.4333,25.28,72,72,6.83,PF,1730056278
203,minas de marcona,-15.2119,-75.1103,20.64,45,7,7.63,PE,1730056279
204,wamba,8.9333,8.6,24.9,55,24,1.15,NG,1730056280
205,perevoz,55.5961,44.5446,5.23,82,100,1.7,RU,1730056281
206,dakhla,23.6848,-15.958,19.74,82,1,7.23,EH,1730056057
207,malone,44.8487,-74.2949,4.03,85,100,5.22,US,1730056285
208,papao,-17.75,-149.55,26.82,72,100,6.88,PF,1730056287
209,al wafrah,28.6392,47.9306,22.54,20,0,4.3,KW,1730056288
210,sinop,41.7711,34.8709,9.25,72,0,2.6,TR,1730056289
211,vernon,50.2581,-119.2691,13.58,56,88,3.58,CA,1730056290
212,mulki,13.1,74.8,25.6,83,40,1.54,IN,1730056095
213,djambala,-2.5447,14.7533,21.33,94,100,1.57,CG,1730056292
214,homer,59.6425,-151.5483,3.91,85,0,0.0,US,1730056294
215,fort st. john,56.2499,-120.8529,-0.06,93,100,2.57,CA,1730056295
216,claveria,18.6074,121.0832,25.4,85,100,3.62,PH,1730056297
217,tillaberi,14.2117,1.4531,33.38,14,4,4.19,NE,1730056298
218,pont rouge,48.8833,-72.0825,1.58,49,100,7.7,CA,1730056299
219,clearwater,27.9659,-82.8001,27.99,63,0,1.54,US,1730056156
220,malvan,16.0667,73.4667,26.15,83,6,0.83,IN,1730056302
221,la ronge,55.1001,-105.2842,4.55,67,100,9.05,CA,1730056303
222,gisborne,-38.6533,178.0042,12.95,58,1,6.35,NZ,1730056304
223,pandan,14.0453,124.1694,26.47,86,100,6.87,PH,1730056305
224,hithadhoo,-0.6,73.0833,27.61,78,53,4.47,MV,1730056307
225,carbonear,47.7332,-53.2148,8.89,70,6,9.24,CA,1730056309
226,xai-xai,-25.0519,33.6442,27.39,59,100,5.7,MZ,1730056310
227,ciudad lazaro cardenas,17.9583,-102.2,31.49,54,0,2.38,MX,1730056311
228,tlahualilo de zaragoza,26.1167,-103.45,25.9,37,0,2.31,MX,1730056312
229,pariaman,-0.619,100.12,23.03,80,98,2.2,ID,1730056313
230,olinda,-8.0089,-34.8553,27.85,74,40,5.14,BR,1730056314
231,shimoda,34.6667,138.95,21.66,93,100,4.69,JP,1730056316
232,vilyuchinsk,52.9306,158.4028,0.15,77,38,3.64,RU,1730056318
233,mount pearl,47.5166,-52.7813,8.97,72,7,4.92,CA,1730056320
234,beledweyne,4.7358,45.2036,30.19,58,100,3.11,SO,1730056322
235,long beach,33.767,-118.1892,24.5,67,0,3.09,US,1730056090
236,siwa oasis,29.2041,25.5195,22.25,40,0,2.37,EG,1730056324
237,moyo,3.6609,31.7247,20.81,86,79,1.37,UG,1730056326
238,arraial do cabo,-22.9661,-42.0278,23.92,73,75,2.57,BR,1730056327
239,kochubey,44.3861,46.5825,8.31,56,100,1.41,RU,1730056328
240,yelizovo,53.1873,158.3805,0.08,64,75,2.0,RU,1730056329
241,san antonio de pale,-1.4014,5.6325,25.53,84,100,7.05,GQ,1730056330
242,isangel,-19.55,169.2667,23.74,86,87,6.25,VU,1730056068
243,quiindy,-25.9667,-57.2667,31.77,18,5,3.18,PY,1730056333
244,ebon,4.582,168.6964,28.6,69,15,3.31,MH,1730056334
245,tres isletas,-26.3407,-60.4321,32.46,14,0,2.89,AR,1730056335
246,barra de santo antonio,-9.4047,-35.5072,27.09,73,8,4.97,BR,1730056337
247,cabo san lucas,22.8909,-109.9124,32.64,46,0,4.63,MX,1730056166
